RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99021207010343,02,12,07,021207,Pike and San Isabel National Forests,Cimarron Ranger District,341728.55,0.140247657498,1.77512805541
99020609010343,02,06,09,020609,Medicine Bow-Routt National Forest,Douglas Ranger District/Thunder Basin National Grassland,2258381.231,1.01605695839,11.1835079647
99020602010343,02,06,02,020602,Medicine Bow-Routt National Forest,Brush Creek-Hayden Ranger District,580315.38,0.25218652346,5.02804490922
99020605010343,02,06,05,020605,Medicine Bow-Routt National Forest,Laramie Ranger District,370367.716,0.160924895143,3.49827323172
99021206010343,02,12,06,021206,Pike and San Isabel National Forests,Comanche Ranger District,1122279.791,0.461795486796,7.07725464851
99021203010343,02,12,03,021203,Pike and San Isabel National Forests,San Carlos Ranger District,422064.956,0.174980733197,6.39055030319
99021209010343,02,12,09,021209,Pike and San Isabel National Forests,Pikes Peak Ranger District,282988.744,0.119024702208,2.80003271667
99020904010343,02,09,04,020904,Rio Grande National Forest,Divide Ranger District,1010662.796,0.417934329035,4.92235966825
99020907010343,02,09,07,020907,Rio Grande National Forest,Saguache Ranger District,528003.116,0.219482791266,6.66848789708
99021306010343,02,13,06,021306,San Juan National Forest,Pagosa Ranger District,698223.17,0.287320789096,4.06500466857
99020903010343,02,09,03,020903,Rio Grande National Forest,Conejos Peak Ranger District,398614.201,0.163823420916,3.51022169392
99020601010343,02,06,01,020601,Medicine Bow-Routt National Forest,Yampa Ranger District,394695.698,0.168838310546,4.23459376595
99020603010343,02,06,03,020603,Medicine Bow-Routt National Forest,Hahns Peak-Bears Ears Ranger District,500007.384,0.215669709838,4.18278243824
99020407010343,02,04,07,020407,"Grand Mesa, Uncompahgre and Gunnison National Forests",Gunnison Ranger District,1357829.891,0.567664144546,11.7357469179
99020604010343,02,06,04,020604,Medicine Bow-Routt National Forest,Parks Ranger District,489062.49,0.210538177334,6.1829282259
99031006010343,03,10,06,031006,Santa Fe National Forest,Espanola Ranger District,366235.521,0.147988856401,4.51512876168
99031003010343,03,10,03,031003,Santa Fe National Forest,Jemez Ranger District,245636.817,0.0990802030786,2.1056342479
99031005010343,03,10,05,031005,Santa Fe National Forest,Pecos-Las Vegas Ranger District,546995.958,0.220327273667,4.66652264885
99020701010343,02,07,01,020701,Nebraska National Forest,Bessey Ranger District,206784.049,0.0914202381394,2.33782383684
99020702010343,02,07,02,020702,Nebraska National Forest,Pine Ridge Ranger District,355082.883,0.158168285482,4.05436417709
99020706010343,02,07,06,020706,Nebraska National Forest,Wall Ranger District,486982.822,0.220481069938,5.93660745822
99021006010343,02,10,06,021006,Arapaho and Roosevelt National Forests,Pawnee Ranger District,768181.308,0.331694545255,3.50197580771
99021404010343,02,14,04,021404,Shoshone National Forest,Wapiti Ranger District,785010.804,0.358442578057,5.16833377652
99021403010343,02,14,03,021403,Shoshone National Forest,Washakie Ranger District,320076.132,0.142529759748,3.21424824339
99021405010343,02,14,05,021405,Shoshone National Forest,Wind River Ranger District,546616.543,0.246731789106,4.80988263532
99021402010343,02,14,02,021402,Shoshone National Forest,Greybull Ranger District,310929.437,0.141111382281,2.51129357943
99021401010343,02,14,01,021401,Shoshone National Forest,Clarks Fork Ranger District,506591.223,0.233264080017,2.51788840183
99021502010343,02,15,02,021502,White River National Forest,Blanco Ranger District,366186.389,0.156244431207,3.89281307842
99021201010343,02,12,01,021201,Pike and San Isabel National Forests,Leadville Ranger District,304771.907,0.128441811776,4.01112951889
99021211010343,02,12,11,021211,Pike and San Isabel National Forests,South Platte Ranger District,450225.882,0.190394055709,3.58168716887
99021501010343,02,15,01,021501,White River National Forest,Aspen Ranger District,274937.843,0.115934078285,2.50182783605
99021508010343,02,15,08,021508,White River National Forest,Rifle Ranger District,313949.264,0.133173995364,4.45586234691
99020402010343,02,04,02,020402,"Grand Mesa, Uncompahgre and Gunnison National Forests",Grand Valley Ranger District,557615.285,0.234407600899,5.73309197271
99021210010343,02,12,10,021210,Pike and San Isabel National Forests,South Park Ranger District,540672.854,0.227959270387,5.99833157944
99021504010343,02,15,04,021504,White River National Forest,Eagle Ranger District,321630.685,0.136634435691,3.66188545317
99020408010343,02,04,08,020408,"Grand Mesa, Uncompahgre and Gunnison National Forests",Paonia Ranger District,479972.689,0.201680300689,4.64092795326
99021503010343,02,15,03,021503,White River National Forest,Sopris Ranger District,433142.955,0.182974191361,4.34483524026
99021507010343,02,15,07,021507,White River National Forest,Holy Cross Ranger District,382909.648,0.162501564082,2.41505684512
99030501010343,03,05,01,030501,Coronado National Forest,Douglas Ranger District,433953.616,0.167201911053,3.96319979777
99030502010343,03,05,02,030502,Coronado National Forest,Nogales Ranger District,352558.372,0.135556349219,2.91916833107
99030505010343,03,05,05,030505,Coronado National Forest,Santa Catalina Ranger District,265840.843,0.103059224933,2.59047738384
99030504010343,03,05,04,030504,Coronado National Forest,Safford Ranger District,411205.764,0.159942161364,3.99910629281
99030306010343,03,03,06,030306,Cibola National Forest,Black Kettle National Grassland,244496.509,0.0984937395625,1.69453016135
99030204010343,03,02,04,030204,Carson National Forest,Camino Real Ranger District,339458.733,0.137646992985,2.66167590124
99011404010343,01,14,04,011404,Kootenai National Forest,Three Rivers Ranger District,663494.072,0.327765364996,4.71608883401
99011407010343,01,14,07,011407,Kootenai National Forest,Cabinet Ranger District,468474.579,0.228174118734,4.87899884496
99011403010343,01,14,03,011403,Kootenai National Forest,Fortine Ranger District,281616.238,0.139339820761,5.78298740679
99011405010343,01,14,05,011405,Kootenai National Forest,Libby Ranger District,877072.728,0.430275499586,11.5061092626
99011401010343,01,14,01,011401,Kootenai National Forest,Rexford Ranger District,331384.725,0.164041306984,2.92938724762
99010208010343,01,02,08,010208,Beaverhead-Deerlodge National Forest,Pintler Ranger District,731209.943,0.345343449199,7.71927458612
99011202010343,01,15,12,011512,Helena-Lewis and Clark National Forest,Helena Ranger District,454533.721,0.216055137499,5.79828063357
99011201010343,01,15,11,011511,Helena-Lewis and Clark National Forest,Townsend Ranger District,372748.345,0.176718726743,4.69758794762
99010206010343,01,02,06,010206,Beaverhead-Deerlodge National Forest,Madison Ranger District,751356.578,0.347325177395,6.90289998288
99010201010343,01,02,01,010201,Beaverhead-Deerlodge National Forest,Dillon Ranger District,579820.223,0.267801974758,9.35594760706
99010203010343,01,02,03,010203,Beaverhead-Deerlodge National Forest,Wisdom Ranger District,875879.976,0.409117409492,8.07000553493
99011204010343,01,15,14,011514,Helena-Lewis and Clark National Forest,Lincoln Ranger District,347958.056,0.166586587428,5.03449228275
99011705010343,01,17,05,011705,Nez Perce-Clearwater National Forest,Red River Ranger District,781579.116,0.365370189252,4.11528828709
99011706010343,01,17,06,011706,Nez Perce-Clearwater National Forest,Moose Creek Ranger District,822617.032,0.387315184399,4.64790025508
99011603010343,01,16,03,011603,Lolo National Forest,Missoula Ranger District,622417.735,0.296479158371,7.72296071704
99011606010343,01,16,06,011606,Lolo National Forest,Seeley Lake Ranger District,439006.446,0.210894803655,4.68470382201
99011607010343,01,16,07,011607,Lolo National Forest,Superior Ranger District,517194.584,0.248737497055,6.48215429158
99010503010343,01,17,53,011753,Nez Perce-Clearwater National Forest,North Fork Ranger District,777996.793,0.370484935613,4.34069525018
99010505010343,01,17,55,011755,Nez Perce-Clearwater National Forest,Lochsa/Powell Ranger District,951467.679,0.450529955828,5.67773186643
99010803010343,01,11,83,011183,Custer Gallatin National Forest,Sioux Ranger District,176981.823,0.0826500684567,5.27344665941
99010804010343,01,11,84,011184,Custer Gallatin National Forest,Ashland Ranger District,501821.077,0.233446898554,3.96568081247
99010802010343,01,11,82,011182,Custer Gallatin National Forest,Beartooth Ranger District,603730.385,0.279894250235,4.60173910056
